Category,question,answer
Adobe Acrobat for Faculty & Staff,How do I activate my license for Acrobat Pro DC?,VisitMy CU Accountin Carrefour (under Apps & software > Adobe Acrobat) and agree to the terms and conditions page.
Adobe Acrobat for Faculty & Staff,I’m having login issues. Where can I go for help?,First make sure you have an active license and login with the correct credentials:
Adobe Acrobat for Faculty & Staff,How can I re-activate my Adobe Acrobat Pro DC license after a leave?,Contact theIT Service Deskand open a ticket.
Adobe Acrobat for Faculty & Staff,Where can I download the software for my university owned computer?,Adobe Acrobatpage in Carrefour.
Adobe Acrobat for Faculty & Staff,I don’t have admin rights and need help installing the software. Who can I contact for help?,Please contact theIT Service Deskand open a ticket so an IT representative may assist you.
Adobe Acrobat for Faculty & Staff,Can I install the software on more than one computer?,"Yes, your license permits for the software to be installed on two devices. An error message will occur if you attempt to login on a third device, asking you to log out."
Adobe Acrobat for Faculty & Staff,Do you offer Adobe Acrobat Pro DC licenses for students?,"No, these licenses are only available for active employees.  Students with a Creative Cloud license can utilize the Adobe Acrobat Pro DC app within Creative Cloud. More details arehere."
Adobe Creative Cloud for Faculty & Staff,How can I submit a request for an employee Adobe Creative Cloud license?,Fill out thisformto request an Adobe Creative Cloud license.
Adobe Creative Cloud for Faculty & Staff,Where can I download Creative Cloud for my personal computer?,https://creativecloud.adobe.com/apps/all/desktop
Adobe Creative Cloud for Faculty & Staff,Can I install the software on more than one computer?,"Yes, your license permits for the software to be installed on two devices. An error message will occur if you attempt to login on a third device, asking you to log out."
Adobe Creative Cloud for Faculty & Staff,I'm having login issues. Where can I go for help?,First make sure you have a license and login with the correct credentials:
Adobe Creative Cloud for Faculty & Staff,Do students get Creative Cloud Licenses?,Students that require Creative Cloud as part of one of their courses may be eligible for an Adobe Creative Cloud license. Clickherefor details.
Adobe Creative Cloud for Students,How can I submit a request for a student Adobe Creative Cloud license?,Please fill out thisformto submit your request.
Adobe Creative Cloud for Students,Where can I download Creative Cloud?,https://creativecloud.adobe.com/apps/all/desktop
Adobe Creative Cloud for Students,Can I install the software on more than one computer?,"Yes, your license permits for the software to be installed on two devices. An error message will occur if you attempt to login on a third device, asking you to log out."
Adobe Creative Cloud for Students,I'm having login issues. Where can I go for help?,First make sure you have a license and login in with the correct credentials:
Adobe Creative Cloud for Students,Do you offer Creative Cloud licenses for faculty and staff?,"Yes, please consult theAdobe Creative Cloud for Faculty & Staff."
