category,question,answer
Google Workspace,How do I share a document in Google Drive? (instance 1),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
VPN,My VPN won't connect off campus? (instance 2),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 3)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Canvas,Canvas won't show my grades? (instance 4),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
VPN,My VPN won't connect off campus? (instance 5),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Virtual Labs,The virtual desktop is running slowly? (instance 6),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Virtual Labs,The virtual desktop is running slowly? (instance 7),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 8)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
VPN,My VPN won't connect off campus? (instance 9),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
VPN,My VPN won't connect off campus? (instance 10),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Google Workspace,How do I share a document in Google Drive? (instance 11),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Google Workspace,How do I share a document in Google Drive? (instance 12),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Canvas,Canvas won't show my grades? (instance 13),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 14),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Canvas,Canvas won't show my grades? (instance 15),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 16),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Antivirus,My antivirus software won't update? (instance 17),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
VPN,My VPN won't connect off campus? (instance 18),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Teams,My Teams audio or video isn't working? (instance 19),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Teams,My Teams audio or video isn't working? (instance 20),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 21)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
VPN,My VPN won't connect off campus? (instance 22),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Moodle,I cannot log in to Moodle? (instance 23),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Virtual Labs,The virtual desktop is running slowly? (instance 24),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Moodle,I cannot log in to Moodle? (instance 25),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Eduroam,Eduroam says the certificate is not trusted? (instance 26),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Canvas,Canvas won't show my grades? (instance 27),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Moodle,I cannot log in to Moodle? (instance 28),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Google Workspace,How do I share a document in Google Drive? (instance 29),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Accounts,My university account is locked out? (instance 30),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Google Workspace,How do I share a document in Google Drive? (instance 31),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
VPN,My VPN won't connect off campus? (instance 32),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Teams,My Teams audio or video isn't working? (instance 33),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 34),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Eduroam,Eduroam says the certificate is not trusted? (instance 35),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Moodle,I cannot log in to Moodle? (instance 36),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Virtual Labs,The virtual desktop is running slowly? (instance 37),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Google Workspace,How do I share a document in Google Drive? (instance 38),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Google Workspace,How do I share a document in Google Drive? (instance 39),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Moodle,Moodle is not loading or running slowly? (instance 40),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Accounts,My university account is locked out? (instance 41),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Moodle,Moodle is not loading or running slowly? (instance 42),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Moodle,Moodle is not loading or running slowly? (instance 43),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Eduroam,Eduroam says the certificate is not trusted? (instance 44),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 45),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Antivirus,My antivirus software won't update? (instance 46),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Accounts,My university account is locked out? (instance 47),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Moodle,Moodle is not loading or running slowly? (instance 48),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Canvas,Canvas won't show my grades? (instance 49),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 50),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Accounts,My university account is locked out? (instance 51),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Teams,My Teams audio or video isn't working? (instance 52),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Canvas,Canvas won't show my grades? (instance 53),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Accounts,My university account is locked out? (instance 54),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 55),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Moodle,Moodle is not loading or running slowly? (instance 56),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Virtual Labs,The virtual desktop is running slowly? (instance 57),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Antivirus,My antivirus software won't update? (instance 58),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Google Workspace,How do I share a document in Google Drive? (instance 59),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 60),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 61),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Moodle,Moodle is not loading or running slowly? (instance 62),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Moodle,I cannot log in to Moodle? (instance 63),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Eduroam,Eduroam says the certificate is not trusted? (instance 64),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Teams,My Teams audio or video isn't working? (instance 65),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Eduroam,Eduroam says the certificate is not trusted? (instance 66),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Teams,My Teams audio or video isn't working? (instance 67),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Eduroam,Eduroam says the certificate is not trusted? (instance 68),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 69),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Moodle,I cannot log in to Moodle? (instance 70),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 71),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Google Workspace,How do I share a document in Google Drive? (instance 72),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Virtual Labs,The virtual desktop is running slowly? (instance 73),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Moodle,I cannot log in to Moodle? (instance 74),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Accounts,My university account is locked out? (instance 75),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Moodle,Moodle is not loading or running slowly? (instance 76),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
