Software Support,"Moodle plugin not loading in browser, how to fix?","Clear browser cache, ensure plugin is enabled, and update your browser."
Device Support,Why isn't my Confluence camera detected?,Install the latest driver and enable camera permission in privacy settings.
Account & Access,"I forgot my Outlook password, how do I recover it?","To recover your Outlook password, visit the self-service portal and follow the recovery steps."
General Queries,Where can I find the Slack API documentation?,Visit the developer portal's API section and search for Slack docs.
Email & Communication,How do I add a signature in Outlook?,"Open settings in Outlook, navigate to Signature, and enter your desired signature text."
Device Support,How to reset my Teams device settings?,Go to Settings > System > Reset options and choose to reset device.
File Storage,How do I sync files offline in Outlook?,Enable offline mode in the settings to sync files to your device.
Account & Access,"I forgot my Slack password, how do I recover it?","To recover your Slack password, visit the self-service portal and follow the recovery steps."
Email & Communication,Can I schedule emails in Jira?,"Yes, go to the compose window in Jira, click schedule send, and choose your date/time."
Software Support,Does Slack support dark mode?,"Yes, enable dark mode under Appearance in the Slack settings."
Printing & Hardware,How do I scan directly to email on Slack printer?,"Access the scan menu, choose email, enter recipient, and start the scan."
Printing & Hardware,Can I use USB on Teams kiosk computers?,USB ports are disabled for security; use network shares instead.
Software Support,Does Canvas support dark mode?,"Yes, enable dark mode under Appearance in the Canvas settings."
General Queries,What is the maintenance schedule for Canvas services?,Check the IT status page for scheduled maintenance windows and notifications.
Network & Connectivity,How do I whitelist websites in Teams network?,Submit a request via the IT portal with the URLs to whitelist.
File Storage,How do I share a folder in SharePoint?,"Right-click the folder, choose Share, and enter the email addresses of recipients."
Software Support,Does Moodle support dark mode?,"Yes, enable dark mode under Appearance in the Moodle settings."
Email & Communication,How do I add a signature in Moodle?,"Open settings in Moodle, navigate to Signature, and enter your desired signature text."
Email & Communication,Why am I getting bounce-back emails from Jira?,Bounce-backs occur due to incorrect recipient address or full mailbox; verify the address.
Software Support,How to update SharePoint to the latest version?,"Open the app, go to Help > Check for updates, and follow the prompts."
Device Support,How do I pair a Bluetooth device on Jira?,"Open Bluetooth settings, search for devices, and select your device to pair."
Printing & Hardware,How do I scan directly to email on Canvas printer?,"Access the scan menu, choose email, enter recipient, and start the scan."
General Queries,How do I report a bug in Zoom portal?,Use the feedback link at the bottom of the Zoom portal page to submit bug reports.
Email & Communication,Why am I getting bounce-back emails from SharePoint?,Bounce-backs occur due to incorrect recipient address or full mailbox; verify the address.
Network & Connectivity,How do I whitelist websites in Canvas network?,Submit a request via the IT portal with the URLs to whitelist.
Email & Communication,Why am I getting bounce-back emails from Canvas?,Bounce-backs occur due to incorrect recipient address or full mailbox; verify the address.
Printing & Hardware,Why is my Zoom monitor flickering?,Check cable connections and update graphics drivers.
Device Support,How do I pair a Bluetooth device on Confluence?,"Open Bluetooth settings, search for devices, and select your device to pair."
Software Support,How to update Moodle to the latest version?,"Open the app, go to Help > Check for updates, and follow the prompts."
Printing & Hardware,How do I scan directly to email on Confluence printer?,"Access the scan menu, choose email, enter recipient, and start the scan."
General Queries,How do I report a bug in Canvas portal?,Use the feedback link at the bottom of the Canvas portal page to submit bug reports.
Software Support,How to update Zoom to the latest version?,"Open the app, go to Help > Check for updates, and follow the prompts."
Printing & Hardware,Can I use USB on SharePoint kiosk computers?,USB ports are disabled for security; use network shares instead.
Printing & Hardware,Why is my Slack monitor flickering?,Check cable connections and update graphics drivers.
Software Support,Does Teams support dark mode?,"Yes, enable dark mode under Appearance in the Teams settings."
Email & Communication,Why am I getting bounce-back emails from Moodle?,Bounce-backs occur due to incorrect recipient address or full mailbox; verify the address.
Printing & Hardware,Why is my Slack monitor flickering?,Check cable connections and update graphics drivers.
File Storage,How do I sync files offline in SharePoint?,Enable offline mode in the settings to sync files to your device.
General Queries,How do I report a bug in Teams portal?,Use the feedback link at the bottom of the Teams portal page to submit bug reports.
Device Support,How do I pair a Bluetooth device on Canvas?,"Open Bluetooth settings, search for devices, and select your device to pair."
Device Support,Why isn't my Jira camera detected?,Install the latest driver and enable camera permission in privacy settings.
Account & Access,"I forgot my Zoom password, how do I recover it?","To recover your Zoom password, visit the self-service portal and follow the recovery steps."
General Queries,How do I report a bug in Zoom portal?,Use the feedback link at the bottom of the Zoom portal page to submit bug reports.
Network & Connectivity,Can I use Confluence from off-campus?,Connect to VPN first or use the university's proxy service.
Printing & Hardware,Can I use USB on Confluence kiosk computers?,USB ports are disabled for security; use network shares instead.
Network & Connectivity,Can I use Confluence from off-campus?,Connect to VPN first or use the university's proxy service.
Printing & Hardware,Can I use USB on Zoom kiosk computers?,USB ports are disabled for security; use network shares instead.
File Storage,What is the storage quota for Outlook?,Each user gets 1 TB of storage by default; contact IT if more is needed.
Network & Connectivity,"My Gmail bandwidth is slow, what can I do?",Check for background downloads or switch to a wired connection for stability.
Account & Access,"My Slack account is disabled, how can I enable it?",Your Slack account can be re-enabled by contacting IT support or using the account management portal.
Printing & Hardware,Why is my Teams monitor flickering?,Check cable connections and update graphics drivers.
Software Support,"Outlook plugin not loading in browser, how to fix?","Clear browser cache, ensure plugin is enabled, and update your browser."
Account & Access,How do I change my Outlook username?,"To change your Outlook username, go to your account settings and update your display name."
Account & Access,How do I change my Teams username?,"To change your Teams username, go to your account settings and update your display name."
Network & Connectivity,Can I use Teams from off-campus?,Connect to VPN first or use the university's proxy service.
Account & Access,"I forgot my Confluence password, how do I recover it?","To recover your Confluence password, visit the self-service portal and follow the recovery steps."
General Queries,What is the maintenance schedule for Outlook services?,Check the IT status page for scheduled maintenance windows and notifications.
File Storage,What is the storage quota for Zoom?,Each user gets 1 TB of storage by default; contact IT if more is needed.
Network & Connectivity,Can I use Jira from off-campus?,Connect to VPN first or use the university's proxy service.
Email & Communication,Can I schedule emails in Moodle?,"Yes, go to the compose window in Moodle, click schedule send, and choose your date/time."
Account & Access,"I forgot my Jira password, how do I recover it?","To recover your Jira password, visit the self-service portal and follow the recovery steps."
File Storage,What is the storage quota for Outlook?,Each user gets 1 TB of storage by default; contact IT if more is needed.
Network & Connectivity,"My Jira bandwidth is slow, what can I do?",Check for background downloads or switch to a wired connection for stability.
Network & Connectivity,Can I use Gmail from off-campus?,Connect to VPN first or use the university's proxy service.
Account & Access,How do I change my Gmail username?,"To change your Gmail username, go to your account settings and update your display name."
General Queries,How do I report a bug in Moodle portal?,Use the feedback link at the bottom of the Moodle portal page to submit bug reports.
General Queries,How do I report a bug in Slack portal?,Use the feedback link at the bottom of the Slack portal page to submit bug reports.
Device Support,Why isn't my Gmail camera detected?,Install the latest driver and enable camera permission in privacy settings.
Printing & Hardware,How do I scan directly to email on Canvas printer?,"Access the scan menu, choose email, enter recipient, and start the scan."
General Queries,What is the maintenance schedule for SharePoint services?,Check the IT status page for scheduled maintenance windows and notifications.
General Queries,Where can I find the Teams API documentation?,Visit the developer portal's API section and search for Teams docs.
Email & Communication,How do I add a signature in Slack?,"Open settings in Slack, navigate to Signature, and enter your desired signature text."
Device Support,How to reset my Slack device settings?,Go to Settings > System > Reset options and choose to reset device.
File Storage,What is the storage quota for Canvas?,Each user gets 1 TB of storage by default; contact IT if more is needed.
Network & Connectivity,Can I use Canvas from off-campus?,Connect to VPN first or use the university's proxy service.
Software Support,"Moodle plugin not loading in browser, how to fix?","Clear browser cache, ensure plugin is enabled, and update your browser."
Software Support,How to update SharePoint to the latest version?,"Open the app, go to Help > Check for updates, and follow the prompts."
Device Support,How do I pair a Bluetooth device on Gmail?,"Open Bluetooth settings, search for devices, and select your device to pair."
